이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,이용요금_올림,이용요금_내림,이용요금_반올림
김영철,1980-03-25,016-365-3689,45,경기도 수원시 영통구 매탄동,23,11,경기도 안성시 서운면,서울특별시 성북구 보문동4가,서울특별시 동대문구 용두동,경기도 화성시 마도면,서울특별시 서대문구 홍제동,경기도 남양주시 진접읍,Y,Y,3,46639,0.53,24719,46640.0,46630.0,46640
박우진,1957-01-22,044-251-3944,68,경기도 파주시 군내면,33,8,경기도 평택시 독곡동,경기도 평택시 오성면,경기도 화성시 정남면,경기도 시흥시 하중동,경기도 광주시 곤지암읍,경기도 양주시 백석읍,N,N,0,100660,0.2,20132,100660.0,100660.0,100660
김지현,1934-08-06,019-552-2603,91,서울특별시 종로구 창성동,25,12,서울특별시 성동구 금호동1가,경기도 여주시 오학동,서울특별시 강동구,서울특별시 성동구 행당동,경기도 안성시 보개면,경기도 안성시 원곡면,N,Y,3,149448,0.5,74724,149450.0,149440.0,149450
김승현,1984-06-06,061-371-3368,41,경기도 화성시 양감면,33,14,서울특별시 강북구 번동,경기도 안성시 대덕면,서울특별시 종로구 재동,경기도 여주시 가업동,경기도 화성시 서신면,경기도 안성시 고삼면,N,N,0,172895,0.2,34579,172900.0,172890.0,172900
박하윤,2003-05-04,064-729-2862,22,경기도 안산시 상록구 장하동,33,7,경기도 포천시 관인면,경기도 안성시 죽산면,경기도 양주시 은현면,경기도 고양시 덕양구 삼송동,경기도 화성시 매송면,경기도 양평군 옥천면,N,N,0,67058,0.3,20117,67060.0,67050.0,67060
문지후,2004-05-13,061-042-4955,21,경기도 연천군,36,15,경기도 평택시 이충동,서울특별시 강서구,서울특별시 종로구 낙원동,경기도 양주시 고암동,경기도 하남시 풍산동,경기도 화성시 장안면,N,N,0,478327,0.3,143498,478330.0,478320.0,478330
박지현,2005-08-09,041-150-7101,20,경기도 양평군 지평면,32,9,경기도 파주시,서울특별시 강서구 가양동,서울특별시 중랑구 중화동,경기도 용인시 처인구 모현읍,경기도 광주시 남종면,서울특별시 중구 태평로2가,N,N,0,456456,0.3,136937,456460.0,456450.0,456460
심승민,1951-11-20,062-148-0217,74,경기도 평택시 소사동,27,7,경기도 연천군 중면,서울특별시 종로구 원남동,서울특별시 중구 필동3가,경기도 이천시 장호원읍,경기도 포천시 동교동,경기도 평택시 안중읍,Y,N,0,33948,0.53,17992,33950.0,33940.0,33950
김은주,1956-08-02,051-850-4107,69,경기도 김포시 대곶면,31,8,경기도 여주시 흥천면,경기도 김포시 대곶면,서울특별시 종로구 통의동,경기도 연천군 미산면,경기도 평택시 청룡동,경기도 안성시 사곡동,N,N,0,503626,0.2,100725,503630.0,503620.0,503630
서정자,1940-02-13,062-779-8666,85,경기도 평택시 오성면,33,13,경기도 안성시 일죽면,경기도 성남시 분당구 운중동,서울특별시 마포구 공덕동,경기도 평택시 청북읍,경기도 이천시 백사면,경기도 용인시 수지구 동천동,N,Y,2,111803,0.3,33541,111810.0,111800.0,111800
박경희,1944-02-21,017-105-4259,81,서울특별시 중구 을지로4가,27,14,경기도 여주시 가남읍,경기도 오산시 청학동,경기도 동두천시 지행동,경기도 용인시 처인구 백암면,경기도 과천시 문원동,경기도 화성시 정남면,N,N,0,109362,0.2,21872,109370.0,109360.0,109360
문현준,1984-01-03,062-365-9852,41,서울특별시 강동구 암사동,39,9,경기도 여주시 현암동,서울특별시 용산구 용산동4가,경기도 오산시 탑동,경기도 김포시 하성면,서울특별시 종로구 명륜4가,경기도 안성시 삼죽면,Y,N,0,38272,0.53,20284,38280.0,38270.0,38270
강명자,1965-05-21,053-851-0966,60,경기도 여주시 가남읍,29,6,경기도 군포시 도마교동,경기도 안성시 고삼면,경기도 여주시 산북면,경기도 연천군 왕징면,경기도 양주시 장흥면,경기도 이천시 진리동,Y,N,0,16619,0.53,8808,16620.0,16610.0,16620
송정수,1949-08-11,041-922-0100,76,경기도 용인시 처인구 이동읍,30,12,경기도 안성시 대덕면,경기도 파주시 장단면,서울특별시 중구 오장동,경기도 화성시 남양읍,경기도 포천시 신북면,경기도 광주시 퇴촌면,N,Y,3,54173,0.5,27086,54180.0,54170.0,54170
오수민,2001-12-25,018-729-6951,24,경기도 안성시 공도읍,38,14,경기도 남양주시 화도읍,경기도 평택시 서탄면,서울특별시 종로구 명륜2가,경기도 의왕시 월암동,경기도 시흥시 계수동,경기도 이천시 창전동,N,N,0,402243,0.3,120673,402250.0,402240.0,402240
문현우,1982-01-24,018-686-3020,43,서울특별시 종로구 가회동,35,5,경기도 이천시 호법면,경기도 화성시 송산면,경기도 연천군 백학면,경기도 양주시 회정동,경기도 구리시 교문동,경기도 시흥시,N,Y,2,99104,0.3,29731,99110.0,99100.0,99100
이정훈,1948-08-19,061-825-8237,77,경기도 안양시 동안구 평촌동,37,9,서울특별시 강북구 수유동,경기도 광주시 초월읍,경기도 평택시 팽성읍,경기도 파주시 적성면,경기도 화성시 남양읍,경기도 용인시 처인구 양지면,Y,N,0,478117,0.53,253402,478120.0,478110.0,478120
박지훈,2007-05-22,053-120-6785,18,경기도 여주시,32,11,경기도 안성시 대덕면,경기도 광주시 남종면,경기도 고양시 덕양구 행신동,경기도 광주시 초월읍,경기도 김포시 대곶면,서울특별시 중구 명동1가,N,N,0,173642,0.2,34728,173650.0,173640.0,173640
김영일,1958-10-18,019-332-6217,67,경기도 김포시 월곶면,27,11,경기도 화성시 매송면,경기도 용인시 기흥구 하갈동,경기도 연천군 미산면,경기도 가평군 상면,경기도 남양주시 퇴계원읍,경기도 안성시 발화동,N,N,0,1568,0.2,314,1570.0,1560.0,1570
류예진,1944-09-19,055-148-9707,81,서울특별시 성북구 동소문동2가,25,10,경기도 광주시 역동,서울특별시 중구 남산동2가,서울특별시 마포구 중동,경기도 연천군 백학면,경기도 군포시 당동,경기도 여주시 가남읍,N,Y,3,76186,0.5,38093,76190.0,76180.0,76190
이승현,1978-11-26,064-772-2299,47,경기도 김포시 사우동,27,10,경기도 화성시 봉담읍,경기도 오산시 부산동,경기도 파주시 군내면,경기도 안산시 상록구 이동,경기도 남양주시 와부읍,경기도 남양주시 수동면,Y,N,0,25886,0.53,13720,25890.0,25880.0,25890
김은지,1943-10-27,018-857-6587,82,경기도 양평군 양동면,29,12,서울특별시 강동구 강일동,경기도 양평군 용문면,경기도 화성시 남양읍,경기도 남양주시 진건읍,서울특별시 용산구 남영동,경기도 파주시 문산읍,Y,N,0,259528,0.53,137550,259530.0,259520.0,259530
김진호,2007-05-02,042-826-7883,18,경기도 연천군 백학면,28,13,서울특별시 중구 흥인동,경기도 하남시 선동,서울특별시 성동구 상왕십리동,경기도 안성시 삼죽면,경기도 화성시 매송면,경기도 양주시 은현면,N,N,0,214340,0.2,42868,214340.0,214340.0,214340
윤미정,1980-11-05,011-916-7466,45,경기도 양주시 남면,31,11,경기도 여주시 창동,경기도 연천군 백학면,경기도 의정부시 낙양동,경기도 파주시 적성면,경기도 고양시 일산동구 성석동,경기도 용인시 기흥구 중동,N,N,0,49199,0.2,9840,49200.0,49190.0,49200
홍서영,2005-03-21,061-744-8976,20,경기도 연천군,15,5,경기도 화성시 비봉면,경기도 안산시 단원구 대부남동,경기도 성남시 분당구 삼평동,경기도 화성시 장안면,경기도 연천군 군남면,경기도 이천시 부발읍,N,N,0,44364,0.3,13309,44370.0,44360.0,44360
최현주,1960-08-16,061-828-2211,65,경기도 이천시 장호원읍,40,14,경기도 동두천시 송내동,경기도 파주시 신촌동,경기도 오산시 부산동,경기도 이천시 대월면,경기도 연천군 왕징면,경기도 평택시 동삭동,N,N,0,441484,0.2,88297,441490.0,441480.0,441480
이옥순,1948-11-08,018-069-3745,77,경기도 안성시 금광면,28,13,서울특별시 구로구 개봉동,경기도 포천시 군내면,경기도 이천시 율면,서울특별시 동대문구 신설동,경기도 성남시 수정구 산성동,경기도 파주시 동패동,N,N,0,23682,0.2,4736,23690.0,23680.0,23680
우지연,1967-10-24,054-553-6003,58,경기도 화성시 향남읍,27,15,경기도 성남시,서울특별시 용산구 용산동4가,경기도 안산시 상록구 사동,경기도 화성시 남양읍,경기도 화성시 남양읍,경기도 화성시 정남면,N,Y,2,6366,0.3,1910,6370.0,6360.0,6370
최영길,1971-08-11,033-864-3922,54,서울특별시 도봉구 도봉동,33,7,경기도 용인시 처인구 남동,경기도 수원시 팔달구 팔달로2가,서울특별시 종로구 창신동,경기도 화성시 팔탄면,경기도 파주시 장단면,경기도 연천군 백학면,N,N,0,86506,0.2,17301,86510.0,86500.0,86510
윤주원,1970-04-08,062-489-8534,55,경기도 구리시 아천동,30,6,서울특별시 중구 을지로7가,경기도 화성시 비봉면,서울특별시 마포구 노고산동,경기도 김포시 대곶면,경기도 의왕시 월암동,경기도 군포시 도마교동,N,N,0,157345,0.2,31469,157350.0,157340.0,157340
양은경,1960-01-02,063-379-3167,65,경기도 이천시 호법면,28,9,경기도 이천시 설성면,경기도 안성시 미양면,경기도 용인시 처인구 백암면,경기도 연천군 백학면,경기도 용인시 기흥구 고매동,서울특별시 서대문구 홍제동,N,N,0,476866,0.2,95373,476870.0,476860.0,476870
김진우,1935-08-15,010-1076-9015,90,서울특별시 서대문구 충정로3가,29,9,서울특별시 성북구 안암동2가,경기도 김포시 대곶면,서울특별시 서대문구 대현동,경기도 남양주시 평내동,경기도 평택시 팽성읍,경기도 화성시 마도면,Y,N,0,459966,0.53,243782,459970.0,459960.0,459970
문정웅,1973-06-11,044-323-7626,52,경기도 포천시 창수면,39,9,경기도 수원시 팔달구 교동,경기도 성남시 분당구,경기도 안성시 구포동,서울특별시 중구 만리동1가,경기도 파주시 상지석동,경기도 이천시 신둔면,N,Y,3,28517,0.5,14258,28520.0,28510.0,28520
이혜진,1968-09-15,044-792-3834,57,경기도 화성시 팔탄면,32,12,경기도 이천시 부발읍,경기도 안성시 양성면,서울특별시 중구 오장동,경기도 가평군 조종면,경기도 이천시 대월면,서울특별시 종로구 통의동,N,N,0,293260,0.2,58652,293260.0,293260.0,293260
최지아,1969-06-25,010-9107-9020,56,경기도 평택시 오성면,29,14,경기도 고양시 덕양구 성사동,경기도 화성시 정남면,경기도 연천군 연천읍,경기도 김포시 고촌읍,서울특별시 중구 무학동,경기도 동두천시 하봉암동,N,N,0,516775,0.2,103355,516780.0,516770.0,516780
김현우,1947-10-12,043-095-5143,78,경기도 평택시 평택동,30,10,경기도 여주시 세종대왕면,경기도 파주시 당하동,경기도 용인시 처인구 김량장동,경기도 포천시 내촌면,경기도 평택시 고덕면,경기도 안성시 양성면,Y,N,0,340031,0.53,180216,340040.0,340030.0,340030
서진우,1960-10-06,010-3212-7900,65,경기도 안성시 공도읍,26,4,서울특별시 성북구 석관동,경기도 이천시,서울특별시 영등포구 당산동2가,경기도 의왕시 월암동,경기도 평택시 진위면,경기도 평택시 안중읍,N,N,0,101431,0.2,20286,101440.0,101430.0,101430
김은정,1993-04-10,064-794-5157,32,경기도 파주시 적성면,32,14,경기도 수원시 팔달구 팔달로2가,경기도 양주시 남면,경기도 파주시 광탄면,경기도 평택시 고덕면,경기도 양평군 양동면,경기도 포천시 창수면,N,N,0,44167,0.3,13250,44170.0,44160.0,44170
박윤서,1977-06-20,070-0583-5157,48,경기도 광주시 퇴촌면,29,15,경기도 평택시 독곡동,서울특별시 용산구 한강로1가,서울특별시 성북구 삼선동2가,경기도 여주시 세종대왕면,경기도 김포시 월곶면,서울특별시 성동구 마장동,N,N,0,468814,0.2,93763,468820.0,468810.0,468810
성정수,1968-09-22,010-9439-6260,57,서울특별시 노원구,29,11,경기도 안양시 만안구 박달동,경기도 용인시 처인구 포곡읍,경기도 하남시 하산곡동,경기도 화성시 남양읍,서울특별시 종로구 통의동,경기도 이천시 고담동,N,N,0,144010,0.2,28802,144010.0,144010.0,144010
장옥자,1953-05-04,043-500-8036,72,경기도 양평군 양동면,32,13,경기도 광주시 남종면,경기도 용인시 처인구 모현읍,경기도 파주시 군내면,경기도 양주시 백석읍,경기도 의왕시 학의동,경기도 광주시 곤지암읍,N,N,0,55359,0.2,11072,55360.0,55350.0,55360
박재호,1993-11-09,051-189-0467,32,경기도 가평군 상면,29,16,경기도 광주시 남한산성면,서울특별시 영등포구 양평동4가,경기도 수원시 장안구 상광교동,경기도 고양시 덕양구 행주외동,경기도 연천군 백학면,경기도 양평군 용문면,N,N,0,74127,0.3,22238,74130.0,74120.0,74130
김순자,1971-01-16,062-411-7683,54,서울특별시 서대문구 봉원동,30,15,서울특별시 종로구 인사동,경기도 양평군 양평읍,경기도 연천군 백학면,서울특별시 서초구 방배동,경기도 김포시 고촌읍,경기도 여주시 상거동,N,N,0,156448,0.2,31290,156450.0,156440.0,156450
전정자,1971-12-27,051-622-4970,54,서울특별시 용산구 서빙고동,22,7,경기도 평택시 서탄면,경기도 이천시 백사면,서울특별시 중구 인현동1가,경기도 안산시 단원구 원곡동,서울특별시 중랑구 면목동,경기도 연천군 백학면,N,N,0,98854,0.2,19771,98860.0,98850.0,98850
박지훈,1951-07-28,033-354-9902,74,경기도 파주시 법원읍,29,8,경기도 가평군 설악면,경기도 포천시 군내면,경기도 가평군 조종면,경기도 부천시 소사구 송내동,경기도 양평군 개군면,경기도 안성시 고삼면,Y,N,0,7747,0.53,4106,7750.0,7740.0,7750
이아름,1983-10-25,052-190-3131,42,경기도 김포시 마산동,29,10,서울특별시 금천구 시흥동,경기도 이천시 율면,경기도 수원시 장안구 상광교동,경기도 파주시 법원읍,경기도 김포시 월곶면,경기도 오산시 수청동,N,Y,2,162005,0.3,48602,162010.0,162000.0,162000
강영수,1999-08-22,011-760-7803,26,경기도 연천군,33,11,경기도 여주시 월송동,경기도 성남시 수정구 단대동,경기도 여주시 세종대왕면,서울특별시 중구 만리동2가,경기도 광주시 곤지암읍,경기도 평택시 청북읍,N,N,0,98737,0.3,29621,98740.0,98730.0,98740
김수민,1982-10-06,017-109-1625,43,서울특별시 송파구 가락동,24,15,경기도 안성시 미양면,서울특별시 용산구 원효로4가,경기도 포천시 군내면,경기도 양평군 양동면,경기도 용인시 처인구 양지면,경기도 성남시 분당구 구미동,N,N,0,121646,0.2,24329,121650.0,121640.0,121650
김정웅,1941-06-16,031-718-8337,84,경기도 양평군 서종면,30,6,경기도 안성시 미양면,경기도 여주시 대신면,경기도 여주시 강천면,경기도 남양주시 진접읍,서울특별시 중구 장교동,경기도 광주시 곤지암읍,N,N,0,264953,0.2,52991,264960.0,264950.0,264950
장영환,1946-12-30,033-375-4478,79,경기도 여주시 흥천면,37,14,경기도 화성시 팔탄면,경기도 화성시 석우동,경기도 파주시 조리읍,경기도 여주시 흥천면,경기도 이천시 마장면,경기도 양평군 양서면,N,N,0,4935,0.2,987,4940.0,4930.0,4940
이준영,1991-06-19,043-213-7028,34,경기도 화성시 봉담읍,28,13,경기도 양주시 남면,경기도 용인시 기흥구 하갈동,경기도 파주시 파평면,경기도 포천시 영중면,경기도 가평군 설악면,서울특별시 중구 남산동2가,Y,N,0,12890,0.53,6832,12890.0,12890.0,12890
김상철,1990-09-15,062-060-4395,35,경기도 여주시 가남읍,34,14,경기도 남양주시 진접읍,경기도 파주시 법원읍,경기도 용인시 처인구 남사읍,경기도 양평군 청운면,서울특별시,서울특별시 종로구 세종로,Y,N,0,196,0.53,104,200.0,190.0,200
김지혜,1974-10-07,041-070-9359,51,서울특별시 종로구 운니동,33,7,경기도 파주시 문산읍,경기도 화성시 우정읍,경기도 고양시 일산서구 주엽동,경기도 화성시 봉담읍,경기도 안성시 신소현동,서울특별시 서대문구 북가좌동,N,N,0,104848,0.2,20970,104850.0,104840.0,104850
양지연,2006-09-14,070-5369-1230,19,경기도 이천시 증포동,28,10,서울특별시 송파구 문정동,경기도 안성시 대덕면,서울특별시 영등포구 영등포동,경기도 양주시 남면,경기도 양주시 남면,경기도 고양시 일산동구,N,N,0,62424,0.3,18727,62430.0,62420.0,62420
김민서,1938-11-18,062-887-1014,87,경기도 광주시 탄벌동,42,8,경기도 화성시 방교동,경기도 이천시 설성면,경기도 연천군 백학면,경기도 연천군 장남면,서울특별시 중구 주자동,서울특별시 은평구 진관동,N,N,0,99892,0.2,19978,99900.0,99890.0,99890
박경숙,1958-11-22,016-982-9721,67,경기도 파주시 조리읍,25,8,경기도 양주시 덕정동,경기도 연천군 미산면,경기도 이천시 마장면,경기도 화성시 향남읍,서울특별시 성북구 상월곡동,서울특별시 종로구 종로1가,N,N,0,163265,0.2,32653,163270.0,163260.0,163260
최미영,2005-10-17,016-350-7277,20,경기도 평택시 오성면,31,12,경기도 용인시 처인구 원삼면,서울특별시 도봉구 쌍문동,경기도 포천시 군내면,경기도 평택시 월곡동,경기도 의왕시 포일동,경기도 이천시 율면,N,N,0,1585,0.3,476,1590.0,1580.0,1580
장서연,2003-07-25,043-044-9037,22,경기도 이천시 백사면,17,7,경기도 광주시 초월읍,경기도 여주시 가남읍,경기도 양평군 청운면,경기도 이천시 부발읍,경기도 양평군 지평면,경기도 김포시 대곶면,N,Y,2,32711,0.3,9813,32720.0,32710.0,32710
오지현,1959-02-10,031-265-3929,66,경기도 수원시 팔달구 팔달로1가,38,18,경기도 양주시 회정동,경기도 이천시 대월면,경기도 하남시 초이동,경기도 연천군 중면,경기도 이천시 부발읍,경기도 김포시 운양동,N,N,0,25907,0.2,5181,25910.0,25900.0,25910
한동현,1977-12-03,052-072-7141,48,경기도 연천군 연천읍,28,9,경기도 수원시 팔달구 교동,경기도 연천군 백학면,경기도 화성시 남양읍,경기도 안성시 금광면,경기도 화성시 팔탄면,경기도 고양시 덕양구 행주내동,N,N,0,184091,0.2,36818,184100.0,184090.0,184090
이도윤,1999-10-04,042-549-4704,26,서울특별시 성동구 금호동3가,31,13,경기도 평택시 진위면,경기도 성남시 분당구 율동,서울특별시 성동구 성수동2가,서울특별시 종로구 경운동,경기도 포천시 관인면,경기도 연천군 왕징면,N,N,0,169650,0.3,50895,169650.0,169650.0,169650
김아름,1941-07-22,018-268-5121,84,경기도 안성시 금광면,27,9,경기도 가평군 가평읍,경기도 안성시 삼죽면,경기도 평택시 현덕면,경기도 양평군 양서면,경기도 오산시 오산동,경기도 남양주시 별내면,N,N,0,15309,0.2,3062,15310.0,15300.0,15310
노정숙,1993-02-15,016-368-4582,32,경기도 김포시 운양동,22,6,경기도 안성시 미양면,경기도 연천군 중면,서울특별시 중구 회현동3가,경기도 화성시 비봉면,경기도 여주시 대신면,경기도 연천군 백학면,Y,N,0,306715,0.53,162559,306720.0,306710.0,306720
지광수,1946-11-29,063-126-4740,79,경기도 양평군 단월면,27,6,경기도 오산시 외삼미동,경기도 파주시 와동동,경기도 평택시 청북읍,경기도 양평군 양동면,서울특별시 성북구 삼선동5가,서울특별시 마포구,N,N,0,33291,0.2,6658,33300.0,33290.0,33290
남영자,1996-05-09,017-826-9082,29,경기도 양주시 은현면,24,11,경기도 파주시 법원읍,경기도 양주시 장흥면,서울특별시 중구 북창동,경기도 김포시 월곶면,서울특별시 중구 충정로1가,경기도 여주시 대신면,N,N,0,36033,0.3,10810,36040.0,36030.0,36030
윤은서,1962-08-11,070-8498-9146,63,경기도 포천시 내촌면,25,12,경기도 연천군 전곡읍,경기도 연천군 왕징면,경기도 여주시 강천면,경기도 가평군 상면,서울특별시 영등포구 문래동4가,경기도 포천시 군내면,Y,N,0,97745,0.53,51805,97750.0,97740.0,97740
김준영,1954-06-12,055-092-2134,71,경기도 화성시 서신면,27,10,경기도 연천군 왕징면,경기도 김포시 월곶면,경기도 이천시 율면,경기도 여주시 금사면,경기도 양평군 양평읍,서울특별시 송파구 문정동,N,Y,2,76509,0.3,22953,76510.0,76500.0,76510
이정웅,1954-06-14,018-709-4190,71,경기도 남양주시 진접읍,26,2,경기도 가평군 상면,경기도 파주시 서패동,경기도 안성시 고삼면,경기도 양평군 단월면,경기도 안성시,서울특별시 서초구,N,N,0,636096,0.2,127219,636100.0,636090.0,636100
이은경,1966-03-04,064-722-5797,59,경기도 의왕시 삼동,30,12,서울특별시 중구 남학동,경기도 안성시 양성면,경기도 안산시,서울특별시 종로구 와룡동,경기도 화성시 마도면,서울특별시 종로구 홍지동,N,N,0,451099,0.2,90220,451100.0,451090.0,451100
김건우,1934-11-11,063-509-6598,91,경기도 안성시 아양동,32,8,서울특별시 서초구 양재동,서울특별시 영등포구 문래동4가,경기도 안성시 미양면,경기도 양평군 강하면,경기도 양평군 양평읍,경기도 용인시 처인구 모현읍,N,Y,3,9896,0.5,4948,9900.0,9890.0,9900
권재호,1935-04-22,041-785-4654,90,경기도 안산시 단원구 목내동,31,10,경기도 화성시 팔탄면,경기도 여주시 오학동,경기도 이천시 마장면,경기도 수원시 팔달구 매교동,경기도 안성시 원곡면,경기도 남양주시 조안면,N,Y,2,94364,0.3,28309,94370.0,94360.0,94360
한영진,1945-03-25,044-834-1676,80,서울특별시 성북구 동소문동4가,24,11,경기도 오산시 원동,경기도 평택시 진위면,경기도 안성시 보개면,경기도 안성시 금산동,경기도 광명시 노온사동,경기도 양평군 양평읍,Y,Y,3,290272,0.53,153844,290280.0,290270.0,290270
김지후,1960-07-03,044-994-0239,65,경기도 화성시 석우동,24,10,경기도 이천시 백사면,경기도 양주시 산북동,서울특별시 용산구 산천동,경기도 화성시 정남면,경기도 포천시 내촌면,경기도 이천시 백사면,N,N,0,188192,0.2,37638,188200.0,188190.0,188190
이은서,1942-09-03,010-6218-1507,83,경기도 용인시 수지구 동천동,34,8,경기도 양평군 개군면,경기도 가평군 조종면,경기도 평택시 팽성읍,경기도 안성시 죽산면,경기도 평택시 통복동,경기도 화성시 남양읍,N,N,0,280108,0.2,56022,280110.0,280100.0,280110
김영순,1974-09-06,051-577-1586,51,서울특별시 용산구 용산동1가,38,8,경기도 여주시 산북면,경기도 평택시 고덕동,경기도 파주시 탄현면,경기도 파주시 조리읍,경기도 고양시 일산동구,경기도 양평군 개군면,N,Y,3,99144,0.5,49572,99150.0,99140.0,99140
신지연,1966-01-16,064-774-8512,59,경기도 성남시 분당구 금곡동,24,6,경기도 안성시 죽산면,서울특별시 종로구 원남동,경기도 안성시 일죽면,경기도 남양주시 수동면,경기도 파주시 장단면,경기도 양주시 남면,Y,N,0,93408,0.53,49506,93410.0,93400.0,93410
강미경,1939-08-24,010-3084-8823,86,경기도 이천시 대월면,35,9,서울특별시 영등포구 도림동,경기도 광주시 도척면,서울특별시 서초구 반포동,경기도 오산시 두곡동,경기도 여주시 점동면,경기도 양주시 광적면,Y,N,0,276422,0.53,146504,276430.0,276420.0,276420
장은경,1994-04-03,017-734-5166,31,경기도 용인시 기흥구 중동,44,6,경기도 시흥시 거모동,경기도 안성시 죽산면,경기도 여주시,경기도 이천시 모가면,경기도 의왕시 고천동,경기도 가평군 북면,Y,N,0,65484,0.53,34707,65490.0,65480.0,65480
박지연,1948-09-30,052-708-9215,77,경기도 화성시 송산면,34,16,서울특별시 중구 충무로4가,경기도 고양시 덕양구,서울특별시 종로구 창성동,경기도 포천시 화현면,경기도 화성시 송산면,경기도 평택시 청북읍,N,N,0,11262,0.2,2252,11270.0,11260.0,11260
윤성수,1949-03-10,064-719-8329,76,서울특별시 성동구 금호동1가,28,7,경기도 여주시 산북면,경기도 김포시 고촌읍,경기도 이천시 장호원읍,경기도 김포시 하성면,경기도 연천군 백학면,경기도 파주시 맥금동,Y,N,0,419189,0.53,222170,419190.0,419180.0,419190
김준호,1986-05-09,031-756-7215,39,경기도 고양시 일산서구 대화동,29,15,경기도 양주시 장흥면,경기도 오산시 금암동,경기도 양주시 남면,경기도 화성시 팔탄면,경기도 연천군 미산면,서울특별시 동작구 흑석동,N,N,0,553891,0.2,110778,553900.0,553890.0,553890
홍영길,2002-06-22,053-753-0607,23,경기도 의왕시 월암동,28,9,경기도 오산시,서울특별시 영등포구 당산동1가,경기도 화성시 서신면,경기도 안성시 미양면,경기도 이천시 백사면,경기도 파주시 문산읍,N,Y,3,179320,0.5,89660,179320.0,179320.0,179320
김윤서,1999-07-04,061-665-7479,26,경기도 이천시 고담동,29,13,경기도 수원시 팔달구 우만동,경기도 파주시 야동동,경기도 광주시 역동,경기도 시흥시 군자동,경기도 평택시 포승읍,경기도 양주시 남방동,N,Y,2,253245,0.3,75974,253250.0,253240.0,253240
이영환,1951-03-03,052-168-9222,74,경기도 이천시 대월면,37,15,경기도 안성시 양성면,경기도 화성시 장안면,경기도 광주시 퇴촌면,경기도 연천군 신서면,경기도 양평군 지평면,경기도 수원시 팔달구 팔달로2가,Y,N,0,221875,0.53,117594,221880.0,221870.0,221880
이명숙,1995-11-03,033-027-7250,30,경기도 파주시 군내면,26,13,경기도 안산시 단원구 원곡동,서울특별시 서대문구 미근동,경기도 파주시 파주읍,경기도 양평군 서종면,경기도 양주시 백석읍,경기도 양평군 개군면,N,N,0,145926,0.3,43778,145930.0,145920.0,145930
윤지훈,1963-02-15,031-491-0361,62,경기도 부천시 소사구,24,8,경기도 남양주시 수동면,경기도 연천군 청산면,경기도 부천시 원미구 상동,경기도 용인시 기흥구 보정동,경기도 안성시 금산동,경기도 포천시 영중면,N,N,0,173905,0.2,34781,173910.0,173900.0,173900
김경자,1955-05-13,033-777-0591,70,경기도 평택시 팽성읍,36,11,경기도 파주시 군내면,서울특별시 중구 충무로1가,경기도 의정부시 산곡동,경기도 이천시 모가면,경기도 용인시 처인구 포곡읍,경기도 포천시 신북면,N,Y,2,147370,0.3,44211,147370.0,147370.0,147370
김상현,1967-09-15,054-656-6576,58,경기도 이천시 부발읍,25,7,경기도 가평군 가평읍,경기도 평택시 죽백동,서울특별시 양천구 목동,경기도 안성시 보개면,서울특별시 용산구 갈월동,서울특별시 영등포구 당산동5가,N,N,0,22824,0.2,4565,22830.0,22820.0,22820
장상철,1952-05-21,042-035-3460,73,경기도 용인시 처인구 남동,32,12,경기도 안성시 대덕면,경기도 안성시 원곡면,경기도 이천시 백사면,경기도 안산시 단원구 선감동,경기도 파주시 파주읍,경기도 가평군 설악면,N,N,0,72814,0.2,14563,72820.0,72810.0,72810
김미영,1972-07-24,010-0788-5554,53,경기도 화성시 서신면,23,9,경기도 오산시 고현동,경기도 파주시 문산읍,경기도 평택시 현덕면,경기도 평택시 고덕면,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 양지면,N,N,0,3311,0.2,662,3320.0,3310.0,3310
백종수,1990-11-29,055-654-5312,35,경기도 파주시,38,13,경기도 성남시 분당구 구미동,경기도 양평군 용문면,경기도 화성시 우정읍,경기도 이천시 부발읍,경기도 화성시 남양읍,서울특별시 종로구 홍파동,N,N,0,15213,0.2,3043,15220.0,15210.0,15210
김민석,1993-05-29,019-814-5147,32,경기도 평택시 독곡동,31,6,경기도 안성시 양성면,경기도 광주시 송정동,경기도 안성시 미양면,서울특별시,경기도 여주시 점동면,서울특별시 영등포구 양평동5가,N,Y,2,134641,0.3,40392,134650.0,134640.0,134640
김영환,1957-09-04,055-034-3175,68,경기도 이천시 호법면,26,9,서울특별시 중구 순화동,경기도 포천시 영북면,서울특별시 강남구 수서동,경기도 안성시 공도읍,경기도 양평군 양서면,경기도 가평군 청평면,N,N,0,37132,0.2,7426,37140.0,37130.0,37130
이영철,1999-04-19,053-646-8067,26,서울특별시 중구 충무로3가,19,12,경기도 연천군 미산면,경기도 안성시 대덕면,경기도 용인시 기흥구 언남동,경기도 여주시 강천면,경기도 안성시 미양면,경기도 용인시 처인구 남사읍,N,N,0,83827,0.3,25148,83830.0,83820.0,83830
