이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액
최영순,1960-08-26,062-720-2318,65,경기도 포천시 영중면,33,6,경기도 시흥시 군자동,서울특별시 영등포구,경기도 화성시 금곡동,경기도 광주시 남종면,경기도 양평군 개군면,서울특별시 강동구 둔촌동,N,Y,2,363352,0.3,109006
이지우,1967-10-02,052-815-1527,58,경기도 시흥시 과림동,41,7,경기도 여주시 흥천면,경기도 고양시 덕양구 오금동,서울특별시 서대문구 북아현동,경기도 수원시 장안구 상광교동,경기도 광주시 남종면,경기도 파주시 탄현면,N,N,0,124329,0.2,24866
김준혁,1969-11-04,041-420-6166,56,경기도 과천시 중앙동,32,7,경기도 이천시 설성면,경기도 안성시 봉남동,경기도 광주시 도척면,경기도 고양시 일산동구 지영동,경기도 이천시 율면,경기도 용인시 처인구 백암면,Y,N,0,11498,0.53,6094
김영진,1982-01-02,051-685-2715,43,경기도 평택시 오성면,38,6,경기도 평택시 고덕면,서울특별시 종로구 사간동,서울특별시 중구 을지로7가,경기도 여주시 연양동,경기도 여주시 북내면,경기도 오산시 외삼미동,N,N,0,198131,0.2,39626
이정희,1988-12-19,016-795-1334,37,경기도 광주시 곤지암읍,39,12,경기도 시흥시 산현동,경기도 화성시 남양읍,경기도 화성시 남양읍,경기도 광주시 남한산성면,서울특별시 성북구 동선동3가,경기도 김포시,N,N,0,184119,0.2,36824
김지아,1985-04-26,017-828-5520,40,경기도 가평군 조종면,25,10,경기도 안성시 죽산면,경기도 평택시 진위면,경기도 파주시 군내면,경기도 군포시 산본동,서울특별시 성동구 성수동2가,경기도 양주시 백석읍,N,N,0,543886,0.2,108777
노준서,1989-06-06,062-967-2673,36,서울특별시 중구 소공동,27,8,경기도 고양시 일산동구 문봉동,경기도 의정부시 낙양동,경기도 여주시 우만동,경기도 김포시 대곶면,경기도 화성시 팔탄면,경기도 이천시 호법면,N,N,0,330329,0.2,66066
박민수,1976-01-28,055-853-1253,49,서울특별시 마포구 신정동,28,14,경기도 용인시 기흥구 동백동,경기도 안성시 옥천동,서울특별시 종로구 재동,경기도 남양주시 진접읍,경기도 화성시 우정읍,경기도 여주시 가남읍,N,N,0,148981,0.2,29796
김승현,1970-10-11,053-396-4230,55,서울특별시 중구 장충동1가,31,11,경기도 평택시 고덕면,경기도 안성시 대덕면,경기도 양평군 강하면,경기도 포천시 화현면,경기도 부천시 소사구 괴안동,경기도 여주시 흥천면,Y,N,0,22808,0.53,12088
백도윤,1966-10-27,017-311-9496,59,서울특별시 강남구 율현동,35,6,경기도 파주시 장단면,경기도 광주시 양벌동,서울특별시 강남구 대치동,경기도 남양주시 수동면,경기도 김포시 대곶면,경기도 여주시 흥천면,N,N,0,10824,0.2,2165
이동현,1994-01-28,011-940-0264,31,경기도 이천시 대월면,31,10,경기도 용인시 처인구 이동읍,경기도 이천시 설성면,경기도 연천군 백학면,경기도 안성시 일죽면,경기도 파주시 문산읍,경기도 시흥시 월곶동,N,Y,2,441902,0.3,132571
서성민,1976-04-22,053-623-8853,49,경기도 수원시 팔달구 매산로2가,31,8,경기도 고양시 일산동구,경기도 화성시 반월동,경기도 고양시 덕양구 행주외동,서울특별시 송파구 삼전동,서울특별시 용산구 청암동,경기도 파주시 문산읍,N,N,0,121960,0.2,24392
이옥순,1994-10-31,064-715-4123,31,경기도 평택시 포승읍,38,11,경기도 군포시 당동,경기도 포천시 영중면,경기도 김포시 월곶면,경기도 파주시 파평면,서울특별시 중구 의주로2가,경기도 평택시 팽성읍,N,N,0,194741,0.3,58422
박현정,2002-05-22,070-6743-6572,23,경기도 양주시 백석읍,26,13,서울특별시 은평구 대조동,경기도 수원시 팔달구 우만동,경기도 화성시 서신면,서울특별시 강서구 외발산동,경기도 양평군 개군면,경기도 안산시 단원구 목내동,Y,Y,3,238876,0.53,126604
황지혜,1986-09-09,051-114-3980,39,경기도 여주시 북내면,32,14,경기도 양평군 양서면,경기도 안산시 상록구 부곡동,경기도 안성시 일죽면,경기도 평택시 통복동,경기도 이천시 설성면,경기도 여주시 대신면,N,N,0,153713,0.2,30743
이영희,1971-01-30,018-149-3514,54,경기도 포천시 선단동,31,9,경기도 연천군 장남면,서울특별시 구로구 가리봉동,경기도 오산시 고현동,서울특별시 용산구 효창동,경기도 용인시 처인구 원삼면,경기도 포천시 신읍동,N,Y,3,374967,0.5,187484
성영숙,1986-01-06,018-418-0359,39,경기도 평택시 청북읍,26,10,서울특별시 성북구,경기도 김포시 고촌읍,경기도 안양시 동안구 비산동,경기도 용인시 처인구 원삼면,경기도 안성시 금광면,서울특별시 종로구 도렴동,N,N,0,11731,0.2,2346
백수진,1997-02-13,019-563-4977,28,서울특별시 서초구 염곡동,23,12,경기도 연천군 미산면,경기도 고양시 덕양구 행주내동,경기도 용인시 처인구 남사읍,경기도 평택시 팽성읍,경기도 안성시 일죽면,경기도 안산시 단원구 화정동,Y,N,0,274148,0.53,145298
최옥자,1957-03-14,063-885-1360,68,경기도 수원시 팔달구 지동,37,14,경기도 평택시 안중읍,서울특별시 종로구 교남동,경기도 양평군 서종면,경기도 오산시 갈곶동,경기도 평택시 오성면,경기도 연천군 신서면,N,Y,2,272514,0.3,81754
김미경,1993-10-19,016-290-1321,32,경기도 화성시 남양읍,28,15,경기도 안성시 일죽면,경기도 이천시 신둔면,경기도 김포시 월곶면,경기도 파주시 금릉동,경기도 안양시 동안구 호계동,경기도 양주시 덕정동,N,N,0,50062,0.3,15019
허준호,1962-11-04,02-9985-5066,63,서울특별시 중구 충정로1가,27,10,경기도 안성시 가사동,경기도 평택시 동삭동,경기도 안성시 서운면,경기도 평택시 서탄면,경기도 연천군 청산면,경기도 화성시 방교동,N,N,0,24362,0.2,4872
장영환,1964-11-29,017-735-5412,61,경기도 수원시 장안구 정자동,31,9,경기도 안성시 보개면,경기도 여주시 가남읍,경기도 여주시 가남읍,서울특별시 종로구 교북동,경기도 포천시 군내면,경기도 연천군 신서면,N,N,0,192909,0.2,38582
류영식,1981-03-31,055-156-0572,44,경기도 파주시 장단면,32,11,경기도 부천시 소사구 범박동,경기도 평택시 팽성읍,서울특별시 용산구 용산동6가,경기도 이천시 진리동,경기도 용인시 처인구 모현읍,서울특별시 종로구 적선동,N,N,0,76661,0.2,15332
이상현,1953-05-22,070-9398-6161,72,경기도 김포시 양촌읍,23,7,경기도 용인시 기흥구 지곡동,서울특별시 종로구 사직동,경기도 가평군 북면,경기도 여주시 가업동,경기도 파주시 탄현면,서울특별시 종로구 부암동,N,Y,2,2923,0.3,877
윤정숙,1947-01-13,051-307-6563,78,서울특별시 중구 충무로2가,35,12,경기도 안성시 보개면,경기도 김포시 월곶면,경기도 파주시 문산읍,경기도 여주시 점동면,경기도 이천시 마장면,경기도 화성시 양감면,N,N,0,109734,0.2,21947
박미경,1974-10-08,064-742-3485,51,서울특별시 중랑구 중화동,29,10,경기도 김포시 사우동,경기도 여주시 금사면,경기도 연천군 백학면,경기도 김포시 고촌읍,경기도 이천시 설성면,서울특별시 종로구 운니동,N,N,0,192991,0.2,38598
이동현,1986-05-20,042-698-9879,39,경기도 포천시 소흘읍,20,11,서울특별시 중구 을지로4가,서울특별시 중구 을지로3가,경기도 동두천시 걸산동,경기도 안성시 보개면,경기도 연천군 왕징면,경기도 성남시 중원구 갈현동,N,N,0,473524,0.2,94705
권병철,1938-12-29,044-102-3792,87,경기도 이천시 부발읍,29,14,경기도 평택시 서정동,서울특별시 중구 예관동,경기도 양주시 백석읍,경기도 평택시 안중읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 백암면,N,N,0,107544,0.2,21509
김민재,1963-09-26,062-207-6184,62,경기도 가평군 상면,21,15,서울특별시 성북구 안암동1가,서울특별시 강동구,경기도 안성시 양성면,경기도 화성시 정남면,경기도 이천시 백사면,경기도 화성시 송산면,Y,N,0,29512,0.53,15641
김예진,1977-06-10,044-536-8018,48,서울특별시 송파구 송파동,33,4,경기도 안성시 가사동,경기도 남양주시 진건읍,경기도 파주시 광탄면,서울특별시 종로구 송현동,경기도 김포시 월곶면,경기도 평택시 신장동,N,N,0,106797,0.2,21359
정진호,1964-03-10,044-429-8617,61,경기도 남양주시 조안면,28,7,경기도 파주시 서패동,서울특별시 영등포구 대림동,서울특별시 용산구,서울특별시 강남구 일원동,경기도 화성시 정남면,경기도 광주시 곤지암읍,N,Y,3,274019,0.5,137010
박춘자,1952-04-12,070-9289-7329,73,서울특별시 은평구 불광동,33,8,경기도 안성시 보개면,경기도 이천시 마장면,경기도 성남시 분당구 수내동,경기도 양주시 은현면,경기도 안성시 보개면,서울특별시 중구 광희동2가,N,N,0,19332,0.2,3866
박순옥,1992-07-12,016-091-3883,33,경기도 남양주시 화도읍,26,13,서울특별시 성북구,경기도 고양시 덕양구 성사동,경기도 파주시 광탄면,경기도 양평군 개군면,경기도 여주시 대신면,경기도 안성시 일죽면,N,N,0,38947,0.3,11684
최지연,1939-05-08,053-490-8571,86,경기도 여주시 점동면,36,6,경기도 성남시 분당구 백현동,경기도 화성시 장안면,경기도 광주시 추자동,경기도 포천시 신읍동,경기도 안성시 삼죽면,경기도 화성시 송산면,N,N,0,60756,0.2,12151
유건우,2001-07-03,017-584-4623,24,경기도 수원시 팔달구 매향동,31,8,서울특별시 종로구 내수동,경기도 안성시 대덕면,경기도 평택시 안중읍,서울특별시 중구 산림동,서울특별시 도봉구 방학동,경기도 평택시 칠괴동,N,N,0,115613,0.3,34684
손예진,1970-10-05,018-297-5818,55,경기도 파주시 상지석동,21,19,경기도 화성시 마도면,경기도 오산시 청호동,경기도 하남시 감일동,경기도 남양주시 화도읍,경기도 여주시 오금동,경기도 연천군 신서면,N,Y,2,471776,0.3,141533
서순자,1937-03-27,064-760-8695,88,경기도 화성시 매송면,34,15,경기도 시흥시 미산동,경기도 파주시 탄현면,경기도 연천군 왕징면,경기도 화성시 비봉면,경기도 이천시 증포동,경기도 포천시 내촌면,Y,N,0,274587,0.53,145531
백영일,1993-11-08,032-205-3969,32,경기도 용인시 처인구 남사읍,38,10,경기도 이천시 율면,경기도 안성시 금광면,서울특별시 성북구 성북동1가,경기도 양주시 남면,서울특별시 강북구,서울특별시 성북구 삼선동5가,N,Y,3,185407,0.5,92704
안지원,1983-11-25,052-319-7213,42,경기도 양평군 양서면,29,11,서울특별시 동작구 동작동,서울특별시 중랑구 상봉동,경기도 여주시 흥천면,경기도 부천시 소사구 송내동,경기도 연천군 백학면,경기도 연천군 백학면,Y,Y,2,312431,0.53,165588
박정훈,2003-10-03,02-6738-7646,22,경기도 양평군 양동면,33,7,서울특별시 중구 봉래동1가,경기도 성남시 중원구 여수동,경기도 김포시 월곶면,경기도 여주시 산북면,경기도 이천시 중리동,경기도 안성시 양성면,N,N,0,406807,0.3,122042
윤정희,1939-03-04,055-258-8640,86,경기도 평택시 현덕면,35,8,서울특별시 종로구 누하동,경기도 연천군 미산면,서울특별시 종로구 원남동,경기도 평택시 현덕면,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 법곳동,N,N,0,117727,0.2,23545
성경희,1953-01-22,017-681-4855,72,서울특별시 성북구 동소문동4가,36,9,서울특별시 용산구 효창동,경기도 용인시 처인구 양지면,경기도 성남시 수정구 사송동,경기도 평택시 현덕면,서울특별시 강동구 천호동,경기도 가평군 설악면,Y,Y,2,257054,0.53,136239
오은서,1975-01-13,053-753-1018,50,경기도 고양시 덕양구 내유동,42,7,경기도 안성시 공도읍,서울특별시 중랑구 망우동,경기도 평택시 칠원동,경기도 파주시 법원읍,경기도 포천시 창수면,서울특별시 중구 충무로2가,N,N,0,490923,0.2,98185
김경수,1953-07-31,031-340-7623,72,경기도 연천군 연천읍,24,8,서울특별시 종로구 원남동,경기도 용인시 처인구 백암면,서울특별시 강서구 외발산동,서울특별시 종로구 관철동,서울특별시 중구 명동1가,경기도 용인시 처인구 포곡읍,N,N,0,144003,0.2,28801
김은정,1982-02-04,062-317-8235,43,경기도 여주시 세종대왕면,28,8,경기도 여주시 대신면,경기도 파주시 파평면,서울특별시 종로구 필운동,경기도 안성시 보개면,경기도 양주시 남면,경기도 양주시 장흥면,N,N,0,273284,0.2,54657
박명자,2005-02-01,033-212-1391,20,서울특별시 동작구 신대방동,24,9,경기도 성남시 중원구 성남동,서울특별시 영등포구 영등포동6가,경기도 용인시 처인구 양지면,경기도 안성시 공도읍,경기도 여주시 흥천면,서울특별시 강북구 수유동,Y,Y,2,765074,0.53,405489
전건우,1984-08-11,064-719-4771,41,경기도 여주시 산북면,29,10,경기도 남양주시 와부읍,서울특별시 서초구 내곡동,경기도 안산시 단원구 대부동동,경기도 양평군 양평읍,경기도 이천시 대월면,서울특별시 영등포구 당산동4가,N,N,0,121293,0.2,24259
장서윤,1955-08-31,064-758-6326,70,경기도 여주시 점봉동,36,9,서울특별시 중랑구 망우동,경기도 포천시 신북면,서울특별시 종로구 세종로,경기도 안산시 상록구 사사동,경기도 안성시 미양면,경기도 파주시 야동동,N,N,0,211458,0.2,42292
전서현,1990-04-10,064-766-0380,35,경기도 평택시 서탄면,26,7,서울특별시 종로구 효제동,경기도 화성시 서신면,경기도 화성시 서신면,경기도 파주시 탄현면,경기도 안성시 대덕면,서울특별시 강서구,Y,Y,2,112225,0.53,59479
안주원,1958-11-19,064-786-1947,67,경기도 이천시 설성면,27,8,경기도 이천시 호법면,경기도 용인시 기흥구 상갈동,경기도 평택시 청북읍,경기도 이천시 대월면,경기도 부천시 원미구,경기도 가평군,N,N,0,238515,0.2,47703
임동현,1991-06-16,052-883-5002,34,경기도 파주시 법원읍,35,13,경기도 김포시 월곶면,서울특별시 영등포구 당산동1가,경기도 하남시 신장동,경기도 파주시 군내면,경기도 양평군 지평면,경기도 양주시 만송동,N,Y,2,93120,0.3,27936
구은지,1961-04-24,044-068-6656,64,경기도 안성시 금광면,23,7,서울특별시 도봉구,경기도 연천군 미산면,경기도 여주시 산북면,서울특별시 송파구 삼전동,서울특별시 용산구 한강로1가,경기도 포천시 군내면,N,N,0,25889,0.2,5178
홍민석,1969-06-15,033-373-9401,56,경기도 양주시 광적면,35,8,경기도 평택시 용이동,서울특별시 강남구,경기도 용인시 처인구 포곡읍,경기도 안성시 성남동,경기도 파주시 파주읍,경기도 안성시 옥천동,N,N,0,415474,0.2,83095
홍예진,1966-01-12,032-330-9388,59,경기도 양평군 옥천면,31,5,경기도 파주시 목동동,서울특별시 강서구 오쇠동,경기도 화성시 봉담읍,경기도 안성시 공도읍,경기도 용인시 처인구 양지면,경기도 하남시 하산곡동,N,N,0,235565,0.2,47113
윤수진,1972-06-21,063-522-9601,53,경기도 용인시 처인구 백암면,26,7,경기도 여주시 점봉동,경기도 평택시 모곡동,서울특별시 종로구 사간동,서울특별시 강북구 수유동,경기도 여주시 점동면,경기도 용인시 기흥구 지곡동,N,N,0,1003118,0.2,200624
이미영,1989-10-14,044-747-0793,36,경기도 김포시 월곶면,31,11,경기도 시흥시 목감동,경기도 이천시 대월면,서울특별시 중구 다동,경기도 가평군 북면,경기도 수원시 장안구 송죽동,경기도 의정부시 신곡동,N,N,0,246081,0.2,49216
박성진,1958-03-28,031-258-7084,67,경기도 파주시 파주읍,34,6,경기도 평택시 오성면,경기도 양평군 청운면,서울특별시 종로구 묘동,서울특별시 강서구 등촌동,경기도 이천시 대월면,서울특별시 성동구 용답동,N,N,0,353652,0.2,70730
김민지,1953-08-17,070-1953-9597,72,경기도 김포시 고촌읍,22,14,경기도 포천시 창수면,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 안산시 상록구,서울특별시 용산구 한강로3가,경기도 평택시 오성면,N,N,0,595612,0.2,119122
김승현,1973-08-06,011-770-1532,52,경기도 안성시 대덕면,27,7,경기도 여주시 세종대왕면,경기도 하남시 선동,경기도 용인시 처인구 원삼면,서울특별시 광진구,경기도 평택시 현덕면,서울특별시 성동구 행당동,N,N,0,11583,0.2,2317
최도윤,1991-10-09,043-628-8669,34,경기도 의왕시 포일동,31,12,경기도 남양주시 퇴계원읍,서울특별시 종로구 도렴동,경기도 양주시 장흥면,서울특별시 강동구 암사동,서울특별시 중구 쌍림동,경기도 여주시 흥천면,N,N,0,368717,0.3,110615
우민재,1996-06-20,055-838-5196,29,경기도 광주시 초월읍,34,6,경기도 하남시 초일동,경기도 화성시 서신면,경기도 이천시 호법면,경기도 양평군 강상면,경기도 양주시 은현면,경기도 화성시 우정읍,N,Y,2,22277,0.3,6683
홍승현,1935-12-06,042-437-3715,90,,26,9,경기도 용인시 처인구 유방동,경기도 수원시 권선구 평동,서울특별시 마포구,서울특별시 영등포구 영등포동2가,경기도 광주시 초월읍,경기도 광주시 퇴촌면,N,N,0,400004,0.2,80001
지동현,1979-11-25,018-932-3964,46,경기도 화성시 향남읍,32,8,경기도 이천시 마장면,경기도 용인시 처인구 백암면,경기도 용인시 기흥구 청덕동,경기도 용인시 처인구 백암면,서울특별시 중구 태평로1가,서울특별시 강남구,Y,N,0,281370,0.53,149126
이지원,1998-07-06,051-830-0954,27,서울특별시 은평구 신사동,20,10,서울특별시 성북구 석관동,경기도 포천시 군내면,서울특별시 동작구 사당동,경기도 의정부시 용현동,서울특별시 마포구 노고산동,경기도 화성시 향남읍,N,N,0,118956,0.3,35687
최성진,1958-09-05,011-762-3280,67,경기도 포천시 가산면,27,11,서울특별시 중구 필동2가,경기도 이천시 장호원읍,경기도 안성시 죽산면,서울특별시 용산구 청파동2가,경기도 평택시 안중읍,경기도 이천시 호법면,N,N,0,318061,0.2,63612
권정순,1998-11-23,033-633-3392,27,경기도 안성시 미양면,30,6,경기도 가평군 가평읍,경기도 광주시 남종면,경기도 안양시 만안구 박달동,경기도 광주시 곤지암읍,경기도 이천시 모가면,서울특별시 종로구 견지동,N,N,0,97489,0.3,29247
성성호,1958-08-21,064-772-6748,67,서울특별시 중구 명동2가,33,13,경기도 포천시 이동면,서울특별시 종로구 효자동,경기도 양평군 용문면,경기도 이천시 송정동,경기도 화성시 송산면,서울특별시 중구 순화동,N,Y,2,247278,0.3,74183
유재호,1987-04-21,061-089-1968,38,경기도 이천시 고담동,30,6,경기도 여주시 점동면,경기도 이천시 안흥동,경기도 안성시 양성면,경기도 평택시 독곡동,경기도 평택시 청룡동,경기도 부천시 소사구 계수동,N,N,0,41884,0.2,8377
황경수,1937-08-28,053-405-4130,88,서울특별시 중구 쌍림동,34,11,서울특별시 종로구 창성동,경기도 이천시 마장면,경기도 안성시 양성면,경기도 파주시 파평면,경기도 포천시 창수면,서울특별시 용산구 갈월동,N,N,0,14000,0.2,2800
김정웅,1969-08-25,031-041-6297,56,경기도 광주시 곤지암읍,30,14,경기도 고양시 덕양구 원흥동,경기도 시흥시 장현동,서울특별시 종로구 종로1가,경기도 김포시 통진읍,경기도 이천시 증일동,경기도 김포시 양촌읍,N,N,0,207743,0.2,41549
김서준,1972-04-06,017-518-5088,53,경기도 화성시 비봉면,24,9,경기도 이천시 증일동,서울특별시 용산구 용산동4가,경기도 시흥시 목감동,서울특별시 금천구,경기도 양평군 청운면,경기도 평택시 고덕면,Y,N,0,101154,0.53,53612
이승민,1991-09-08,033-424-4596,34,경기도 평택시 팽성읍,27,6,경기도 양평군 단월면,경기도 용인시 처인구 남사읍,서울특별시 용산구 용산동2가,서울특별시 중랑구 중화동,경기도 화성시 우정읍,경기도 파주시 적성면,N,N,0,47285,0.3,14186
한지현,1941-01-15,042-931-1815,84,경기도 양주시 덕계동,34,14,서울특별시 종로구 사간동,서울특별시 동대문구 용두동,경기도 양평군 양동면,경기도 안성시 미양면,서울특별시 성북구 동선동5가,서울특별시 송파구 잠실동,N,N,0,33575,0.2,6715
이성호,1994-01-14,051-474-1867,31,경기도 남양주시 진접읍,31,8,경기도 화성시 산척동,경기도 양평군 지평면,서울특별시 강남구 역삼동,경기도 화성시 우정읍,경기도 양주시,경기도 양주시 광적면,Y,N,0,393276,0.53,208436
이지현,2004-08-25,018-535-0304,21,경기도 포천시 소흘읍,31,14,경기도 여주시 세종대왕면,서울특별시 성북구 동선동2가,경기도 화성시 배양동,경기도 수원시 장안구 조원동,경기도 여주시 능현동,경기도 광주시 직동,N,N,0,81168,0.3,24350
이광수,1960-05-31,042-635-2256,65,경기도 파주시 아동동,17,10,경기도 화성시 우정읍,경기도 화성시 우정읍,경기도 안성시 삼죽면,서울특별시 종로구 견지동,경기도 여주시 흥천면,경기도 이천시 마장면,N,N,0,332570,0.2,66514
성정숙,1967-06-26,032-465-3817,58,경기도 광주시 곤지암읍,29,7,경기도 평택시 팽성읍,경기도 성남시 수정구 사송동,경기도 과천시 막계동,경기도 용인시 처인구 마평동,경기도 포천시 창수면,경기도 여주시 세종대왕면,N,N,0,36052,0.2,7210
김준서,1973-04-30,02-2672-7775,52,경기도 안성시 대덕면,25,11,경기도 광주시 삼동,경기도 양주시 장흥면,서울특별시 동대문구 장안동,서울특별시 영등포구 문래동6가,경기도 시흥시 장현동,서울특별시 중구 예관동,N,N,0,117077,0.2,23415
김도윤,1939-07-04,031-588-5269,86,경기도 남양주시 와부읍,34,9,경기도 파주시 조리읍,서울특별시 종로구 송월동,서울특별시 서대문구 홍제동,경기도 화성시 향남읍,서울특별시 용산구 원효로2가,경기도 연천군 중면,N,Y,2,109009,0.3,32703
차수빈,1996-02-07,02-8078-4213,29,경기도 여주시 북내면,24,11,서울특별시 종로구 행촌동,경기도 양주시 봉양동,경기도 이천시 부발읍,경기도 고양시 일산동구 지영동,경기도 평택시 서탄면,경기도 안성시 명륜동,N,N,0,49711,0.3,14913
이동현,1970-11-24,018-392-5145,55,경기도 파주시 문산읍,19,11,경기도 평택시 팽성읍,경기도 용인시 처인구 모현읍,경기도 이천시 사음동,서울특별시 광진구 광장동,경기도 고양시 덕양구 도내동,경기도 이천시 설성면,Y,N,0,41483,0.53,21986
한광수,1987-06-16,055-057-4354,38,경기도 고양시 일산서구 덕이동,33,12,경기도 여주시,경기도 이천시 백사면,경기도 안성시 대덕면,경기도 양평군 개군면,경기도 남양주시 금곡동,서울특별시 송파구 풍납동,N,Y,3,129573,0.5,64786
최예진,1973-06-24,052-935-0795,52,경기도 화성시 봉담읍,31,10,경기도 여주시 점동면,경기도 광명시 철산동,서울특별시 중구 필동1가,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 남사읍,경기도 이천시 마장면,N,N,0,115067,0.2,23013
구경희,1961-08-16,061-923-8798,64,경기도 양평군 개군면,24,12,서울특별시 중구 소공동,경기도 평택시 청북읍,경기도 파주시 문산읍,경기도 여주시 점동면,경기도 양평군 지평면,경기도 화성시 서신면,Y,Y,3,290925,0.53,154190
오지혜,1973-03-02,064-749-5523,52,서울특별시 강동구 명일동,39,10,경기도 파주시 문산읍,경기도 광주시 곤지암읍,경기도 양주시 장흥면,경기도 화성시 송산면,경기도 포천시 일동면,경기도 양평군 단월면,N,N,0,121784,0.2,24357
김진호,1968-03-12,011-392-6214,57,경기도 양주시 광적면,25,10,서울특별시 동대문구 답십리동,경기도 남양주시 조안면,서울특별시 마포구 성산동,경기도 화성시 서신면,경기도 남양주시 와부읍,경기도 여주시 북내면,N,Y,3,76392,0.5,38196
박서준,1977-07-02,062-065-9602,48,경기도 성남시 중원구 여수동,36,9,경기도 수원시 팔달구 교동,서울특별시 마포구 연남동,경기도 포천시 창수면,경기도 안성시 대덕면,경기도 안성시 공도읍,경기도 안성시 대덕면,N,N,0,124298,0.2,24860
장상현,1942-10-04,011-389-3978,83,경기도 평택시 팽성읍,29,12,경기도 양평군 양서면,경기도 의정부시 호원동,경기도 고양시 일산서구 구산동,경기도 포천시 신북면,경기도 화성시 송동,경기도 화성시 향남읍,N,N,0,474260,0.2,94852
김정웅,1951-08-09,070-4548-1710,74,서울특별시 마포구 상수동,29,7,경기도 연천군 연천읍,서울특별시 중구 신당동,경기도 하남시 하산곡동,경기도 양주시 장흥면,경기도 남양주시 조안면,서울특별시 중구 장충동1가,N,N,0,30603,0.2,6121
조현우,1957-06-19,033-106-4611,68,경기도 광주시 퇴촌면,32,13,경기도 평택시 신대동,경기도 화성시 서신면,경기도 광주시 초월읍,경기도 이천시 호법면,서울특별시 종로구 누상동,경기도 평택시 팽성읍,N,N,0,470803,0.2,94161
이성현,1987-11-05,044-836-9498,38,경기도 이천시 마장면,28,14,경기도 여주시 점동면,경기도 성남시 수정구 신흥동,경기도 화성시 장안면,경기도 양평군 단월면,경기도 김포시 고촌읍,경기도 수원시 팔달구 화서동,Y,N,0,226998,0.53,120309
이정훈,1940-10-08,019-558-4440,85,경기도 여주시 흥천면,20,11,서울특별시 서대문구 홍제동,서울특별시 용산구 이태원동,경기도 안성시 대덕면,서울특별시 영등포구 양평동2가,경기도 파주시 법원읍,경기도 화성시 송산면,Y,Y,3,207682,0.53,110071
윤경수,1957-05-21,042-855-5170,68,경기도 연천군 왕징면,36,11,경기도 평택시 현덕면,경기도 안성시 보개면,경기도 남양주시 와부읍,서울특별시 영등포구 양평동5가,경기도 안성시 보개면,경기도 이천시 대월면,N,Y,3,107595,0.5,53798
김명숙,1995-11-15,032-452-6697,30,경기도 파주시 적성면,30,11,경기도 안성시 양성면,경기도 성남시 수정구 금토동,서울특별시 성북구 삼선동5가,경기도 시흥시 물왕동,경기도 양평군 청운면,경기도 용인시 처인구 포곡읍,Y,N,0,84885,0.53,44989
박정훈,1961-12-09,011-895-5516,64,서울특별시 중구 필동3가,30,5,경기도 연천군 군남면,경기도 가평군 청평면,경기도 과천시 문원동,경기도 안성시 서운면,경기도 가평군 가평읍,경기도 여주시 강천면,N,N,0,260468,0.2,52094
이순자,1974-07-03,033-233-7768,51,경기도 안산시,38,6,경기도 고양시 일산동구 백석동,경기도 용인시 처인구 모현읍,서울특별시 광진구 구의동,경기도 동두천시 보산동,경기도 김포시 대곶면,경기도 남양주시 진건읍,N,N,0,178677,0.2,35735
차예은,1976-08-20,052-957-3440,49,경기도 안성시 양성면,27,4,경기도 화성시 서신면,경기도 파주시 문산읍,경기도 남양주시 이패동,경기도 화성시 장안면,경기도 평택시 서탄면,경기도 파주시 문산읍,N,N,0,200451,0.2,40090
김도윤,1954-12-23,033-412-1509,71,경기도 용인시 처인구 남동,37,8,경기도 평택시 팽성읍,경기도 연천군 왕징면,경기도 과천시 중앙동,경기도 포천시 화현면,서울특별시 중구 흥인동,경기도 광주시 곤지암읍,N,N,0,183245,0.2,36649
윤승현,1956-03-01,070-9261-6595,69,경기도 성남시 분당구 삼평동,26,12,경기도 양평군 용문면,경기도 여주시 상동,경기도 화성시 서신면,서울특별시 중구 장충동2가,경기도 화성시 매송면,경기도 평택시 안중읍,N,N,0,11627,0.2,2325
고순옥,1989-01-15,051-202-6252,36,경기도 광주시 곤지암읍,40,5,경기도 안성시 도기동,경기도 용인시 기흥구 고매동,경기도 평택시 고덕면,경기도 연천군 장남면,경기도 안성시 옥산동,서울특별시 중구 입정동,N,N,0,137531,0.2,27506
황광수,1973-03-20,064-717-2857,52,경기도 이천시 장호원읍,36,7,경기도 광주시 곤지암읍,경기도 양평군 양평읍,경기도 평택시 진위면,경기도 화성시 매송면,경기도 성남시 분당구 궁내동,서울특별시 성북구 동소문동1가,Y,N,0,85005,0.53,45053
이시우,2002-08-06,064-786-0097,23,서울특별시 서대문구 신촌동,34,9,경기도 이천시 율면,경기도 수원시 권선구 금곡동,경기도 광주시 초월읍,경기도 가평군 가평읍,서울특별시 종로구 도렴동,경기도 이천시 중리동,N,N,0,307041,0.3,92112
