이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,휴대폰번호_마스킹
이정자,1958-05-08,019-012-8240,67,경기도 안성시,30,10,경기도 광주시 초월읍,경기도 가평군 상면,경기도 연천군 군남면,경기도 수원시,경기도 고양시 덕양구 행신동,서울특별시 동대문구,N,N,0,509748,0.2,101950,019-***-8240
김영식,1950-07-20,011-037-0219,75,경기도 가평군 가평읍,26,5,경기도 화성시 향남읍,경기도 시흥시 장현동,경기도 안성시 금광면,경기도 수원시 팔달구 팔달로2가,경기도 여주시 점동면,서울특별시 서초구,N,Y,3,574212,0.5,287106,011-***-0219
이하은,1989-10-25,063-077-7023,36,경기도 화성시 남양읍,22,6,경기도 김포시 통진읍,경기도 연천군 신서면,서울특별시 용산구 서빙고동,경기도 화성시 배양동,경기도 연천군 중면,경기도 안성시 공도읍,Y,N,0,153177,0.53,81184,063-***-7023
문옥순,1959-12-15,011-685-0154,66,경기도 화성시 봉담읍,23,10,경기도 화성시 서신면,경기도 이천시 부발읍,경기도 파주시 광탄면,경기도 파주시 탄현면,경기도 화성시 송산면,경기도 파주시 탄현면,N,N,0,108982,0.2,21796,011-***-0154
최상현,1968-09-24,033-678-0903,57,서울특별시 용산구 청파동2가,33,8,경기도 화성시 서신면,경기도 광주시 퇴촌면,경기도 수원시 권선구,경기도 연천군 중면,경기도 안성시 계동,경기도 화성시 팔탄면,N,N,0,122435,0.2,24487,033-***-0903
이성호,1994-10-27,010-0319-1530,31,경기도 동두천시 동두천동,31,8,경기도 연천군 백학면,경기도 김포시 북변동,경기도 오산시 누읍동,경기도 연천군 중면,경기도 평택시 청북읍,경기도 고양시 일산동구 식사동,N,N,0,80775,0.3,24232,010-****-1530
고정호,2004-05-18,043-630-9109,21,경기도 김포시 고촌읍,23,6,경기도 동두천시 하봉암동,경기도 하남시 천현동,경기도 안성시 보개면,경기도 용인시 처인구 남사읍,경기도 포천시 일동면,경기도 시흥시 방산동,N,N,0,108931,0.3,32679,043-***-9109
강주원,1986-01-15,019-420-2521,39,경기도 동두천시 하봉암동,34,8,경기도 김포시 마산동,경기도 안성시 고삼면,경기도 여주시 대신면,경기도 파주시 광탄면,경기도 수원시 권선구 대황교동,경기도 파주시 법원읍,N,N,0,131926,0.2,26385,019-***-2521
이성진,1971-01-28,031-504-4809,54,경기도 이천시 설성면,24,13,경기도 안성시 도기동,경기도 양평군 양서면,서울특별시 은평구 녹번동,경기도 여주시 흥천면,서울특별시 영등포구 당산동5가,경기도 이천시 마장면,N,N,0,622097,0.2,124419,031-***-4809
김성민,1946-05-09,011-443-4803,79,경기도 양평군 단월면,23,9,경기도 가평군 청평면,경기도 연천군 신서면,경기도 양평군 강상면,경기도 가평군 상면,경기도 포천시 이동면,경기도 양주시 남면,N,N,0,96982,0.2,19396,011-***-4803
이지아,1981-11-28,010-9045-3124,44,경기도 고양시 일산동구 사리현동,43,13,경기도 연천군 백학면,경기도 안성시 양성면,경기도 남양주시 화도읍,서울특별시 영등포구 양평동1가,경기도 파주시 파주읍,경기도 오산시 은계동,N,N,0,264488,0.2,52898,010-****-3124
권은영,1972-07-29,017-494-0874,53,경기도 양평군 개군면,35,14,경기도 김포시 대곶면,경기도 남양주시 진건읍,경기도 화성시 향남읍,경기도 오산시 가수동,경기도 가평군 북면,경기도 화성시 서신면,N,N,0,249918,0.2,49984,017-***-0874
김하은,1956-11-23,032-919-2249,69,경기도 수원시 장안구 연무동,29,4,경기도 평택시 진위면,경기도 안성시 원곡면,경기도 이천시 율면,경기도 용인시 처인구 포곡읍,경기도 김포시 감정동,서울특별시 송파구 문정동,N,N,0,606593,0.2,121319,032-***-2249
김건우,1994-06-10,031-461-0588,31,경기도 파주시 조리읍,34,13,경기도 양평군 서종면,경기도 가평군 상면,경기도 화성시 장지동,서울특별시 영등포구 당산동4가,경기도 화성시 송산면,경기도 파주시 문산읍,N,N,0,9857,0.3,2957,031-***-0588
김숙자,1996-12-13,064-719-0799,29,경기도 이천시 마장면,26,10,경기도 파주시 법원읍,경기도 화성시 매송면,경기도 평택시 가재동,경기도 여주시 점동면,경기도 연천군 왕징면,경기도 하남시,N,N,0,17261,0.3,5178,064-***-0799
최정웅,1967-07-10,051-314-7042,58,경기도 안성시 서운면,33,11,경기도 여주시 금사면,서울특별시 중구 예장동,서울특별시 동대문구 신설동,경기도 화성시 정남면,경기도 안성시 삼죽면,경기도 평택시 포승읍,N,Y,2,162707,0.3,48812,051-***-7042
장중수,1972-12-11,043-936-8557,53,경기도 여주시 북내면,41,10,경기도 파주시 서패동,경기도 여주시 북내면,경기도 양주시 장흥면,경기도 양평군 청운면,경기도 연천군 백학면,경기도 김포시 고촌읍,N,N,0,122868,0.2,24574,043-***-8557
김영자,1935-07-02,019-577-0345,90,경기도 의정부시 고산동,38,10,경기도 광명시 옥길동,경기도 성남시 분당구 이매동,경기도 화성시 정남면,경기도 화성시 진안동,서울특별시 서초구 방배동,서울특별시 종로구 누상동,N,N,0,182682,0.2,36536,019-***-0345
이민서,1934-11-02,032-785-8045,91,서울특별시 종로구 홍파동,31,12,경기도 화성시 비봉면,경기도 양평군 양서면,경기도 연천군 왕징면,서울특별시 강서구,경기도 화성시 서신면,경기도 김포시 통진읍,N,Y,2,144653,0.3,43396,032-***-8045
최병철,1949-10-14,016-874-6309,76,경기도 화성시 정남면,23,10,경기도 안성시 공도읍,경기도 고양시 일산동구 정발산동,경기도 안산시 단원구 풍도동,경기도 연천군 군남면,서울특별시 강동구 둔촌동,서울특별시 영등포구 문래동5가,N,Y,2,274779,0.3,82434,016-***-6309
김은영,1980-09-05,033-984-3691,45,서울특별시 성동구 금호동4가,37,14,경기도 평택시 안중읍,경기도 안성시 공도읍,경기도 포천시 소흘읍,경기도 수원시 팔달구 고등동,서울특별시 동작구 노량진동,경기도 남양주시 별내면,Y,N,0,416935,0.53,220976,033-***-3691
김상호,1972-10-20,064-772-6793,53,경기도 이천시 장호원읍,40,5,경기도 평택시 청북읍,경기도 용인시 기흥구 청덕동,경기도 김포시 하성면,경기도 광주시 신현동,경기도 포천시 관인면,경기도 여주시 연양동,N,N,0,144582,0.2,28916,064-***-6793
김건우,2001-01-01,055-196-8208,24,경기도 양주시 백석읍,33,7,경기도 김포시 하성면,경기도 화성시 봉담읍,경기도 화성시 매송면,경기도 성남시 중원구,서울특별시 양천구 목동,경기도 성남시 분당구 동원동,N,Y,2,17700,0.3,5310,055-***-8208
권지연,1957-04-20,042-192-3988,68,서울특별시 영등포구 문래동6가,30,18,경기도 가평군 가평읍,경기도 파주시 파평면,경기도 안성시 삼죽면,경기도 파주시 서패동,경기도 파주시 광탄면,경기도 시흥시 장곡동,N,N,0,21929,0.2,4386,042-***-3988
오은지,1993-01-17,064-735-6211,32,경기도 시흥시 은행동,33,7,경기도 화성시 석우동,경기도 화성시 양감면,경기도 안성시 연지동,경기도 파주시 문산읍,경기도 안성시 대덕면,경기도 고양시 덕양구 삼송동,N,Y,2,47996,0.3,14399,064-***-6211
김민지,1980-08-03,053-881-2729,45,경기도 양주시 은현면,35,7,경기도 고양시 덕양구 원당동,경기도 포천시 소흘읍,경기도 안성시 중리동,경기도 군포시 도마교동,서울특별시 마포구 성산동,경기도 화성시 장안면,N,N,0,373868,0.2,74774,053-***-2729
김순자,2001-05-11,033-791-7765,24,경기도 화성시 장안면,30,13,서울특별시 금천구 독산동,경기도 평택시 지산동,경기도 가평군 가평읍,경기도 포천시,경기도 광주시 남한산성면,경기도 용인시 처인구 원삼면,N,N,0,164394,0.3,49318,033-***-7765
이정훈,1958-01-05,064-767-9374,67,경기도 화성시 마도면,31,7,경기도 성남시 수정구 태평동,경기도 화성시 정남면,경기도 여주시 점동면,경기도 포천시 영북면,경기도 수원시,경기도 광주시 남종면,N,N,0,89597,0.2,17919,064-***-9374
박은서,1996-03-18,054-423-5995,29,경기도 용인시 기흥구 언남동,31,13,경기도 시흥시 화정동,경기도 안성시 대천동,경기도 하남시 미사동,경기도 파주시 진서면,서울특별시 중랑구 묵동,경기도 김포시 대곶면,Y,N,0,85367,0.53,45245,054-***-5995
김상현,1940-03-02,016-392-8949,85,경기도 이천시 백사면,32,11,경기도 용인시 처인구 이동읍,경기도 여주시 흥천면,경기도 평택시 용이동,경기도 가평군 가평읍,경기도 평택시 포승읍,경기도 수원시 영통구 매탄동,N,Y,2,11980,0.3,3594,016-***-8949
이정희,1961-02-16,032-823-0853,64,경기도 이천시 호법면,30,11,경기도 화성시 마도면,경기도 포천시 소흘읍,서울특별시 동작구 상도동,경기도 용인시 처인구 남사읍,경기도 평택시 오성면,경기도 안성시 대천동,Y,Y,3,61809,0.53,32759,032-***-0853
김정자,2005-03-25,033-306-2656,20,서울특별시 종로구 옥인동,22,13,경기도 광주시 남종면,경기도 화성시 정남면,서울특별시 마포구 하중동,경기도 연천군 군남면,경기도 안성시 가현동,경기도 안성시 공도읍,Y,Y,2,84652,0.53,44866,033-***-2656
백순옥,1989-08-16,041-268-9609,36,경기도 화성시 향남읍,34,11,경기도 이천시 설성면,경기도 성남시 분당구,경기도 안산시 상록구 부곡동,경기도 김포시 통진읍,경기도 포천시 소흘읍,경기도 광주시 퇴촌면,N,N,0,17002,0.2,3400,041-***-9609
김준혁,1985-03-14,052-673-3728,40,경기도 이천시 장호원읍,25,8,경기도 부천시 원미구 춘의동,경기도 포천시 신북면,경기도 수원시 영통구 영통동,서울특별시 종로구 충신동,서울특별시 중구 을지로5가,경기도 성남시 분당구 수내동,N,N,0,102121,0.2,20424,052-***-3728
하수빈,1958-02-11,070-0370-8891,67,서울특별시 서대문구 냉천동,26,6,경기도 연천군 미산면,경기도 양평군 강상면,서울특별시 용산구 청파동1가,경기도 양평군 용문면,경기도 김포시 하성면,경기도 안성시 양성면,Y,N,0,93400,0.53,49502,070-****-8891
최미영,2002-12-20,063-031-2028,23,서울특별시 은평구 구산동,32,7,경기도 여주시 북내면,경기도 양평군 옥천면,서울특별시 중랑구 묵동,경기도 안성시 삼죽면,서울특별시 중구 인현동2가,경기도 안성시 성남동,N,N,0,573334,0.3,172000,063-***-2028
백정수,1971-04-20,053-274-7084,54,경기도 광주시 초월읍,27,8,서울특별시 은평구 구산동,경기도 파주시 조리읍,경기도 이천시 백사면,경기도 용인시 처인구 포곡읍,경기도 안산시 상록구 성포동,경기도 포천시 선단동,N,N,0,121696,0.2,24339,053-***-7084
김승현,1955-06-02,02-7636-2304,70,서울특별시 광진구 군자동,27,13,경기도 이천시 마장면,서울특별시 종로구 교북동,경기도 김포시 하성면,서울특별시 서대문구 홍제동,경기도 파주시 조리읍,경기도 파주시 진동면,N,N,0,204062,0.2,40812,02-7***-2304
민영호,1999-05-28,018-649-1301,26,경기도 파주시 조리읍,24,16,경기도 이천시 율면,경기도 여주시 흥천면,경기도 양평군 개군면,경기도 여주시 하동,경기도 연천군 청산면,경기도,N,N,0,400820,0.3,120246,018-***-1301
최성진,1986-04-16,063-296-2405,39,경기도 포천시 군내면,30,14,경기도 여주시 가남읍,경기도 김포시 하성면,서울특별시 강서구 마곡동,경기도 연천군 왕징면,경기도 화성시 비봉면,경기도 가평군 청평면,N,N,0,408349,0.2,81670,063-***-2405
오민석,1965-07-22,051-377-5570,60,경기도 안성시 공도읍,28,18,경기도 과천시 과천동,경기도 용인시 처인구 포곡읍,경기도 파주시 진서면,서울특별시 종로구 종로2가,서울특별시 광진구 중곡동,경기도 의왕시 고천동,N,N,0,182786,0.2,36557,051-***-5570
황성진,1962-09-27,041-813-9639,63,경기도 남양주시 오남읍,38,5,서울특별시 종로구 신문로1가,경기도 양평군 개군면,서울특별시 동작구 상도동,경기도 용인시 처인구 모현읍,경기도 화성시 양감면,경기도 여주시 점동면,N,N,0,139465,0.2,27893,041-***-9639
최서영,1966-01-05,063-209-8511,59,경기도 의왕시 이동,35,8,경기도 포천시 신북면,경기도 파주시 진서면,경기도 이천시 율면,경기도 여주시 흥천면,경기도 용인시 처인구 포곡읍,경기도 포천시 소흘읍,Y,N,0,73343,0.53,38872,063-***-8511
강정훈,1987-12-07,063-443-9512,38,서울특별시 중구 신당동,31,7,경기도 안성시 중리동,서울특별시 성북구 정릉동,경기도 가평군 상면,경기도 광주시 퇴촌면,경기도 양평군 서종면,경기도 남양주시 진접읍,N,N,0,114122,0.2,22824,063-***-9512
이예원,1936-02-29,02-3844-9927,89,경기도 안성시 일죽면,25,10,경기도 안성시 일죽면,경기도 시흥시 조남동,경기도 가평군 설악면,경기도 양주시 광적면,경기도 여주시 북내면,경기도 이천시,Y,N,0,14640,0.53,7759,02-3***-9927
최숙자,1936-12-09,052-557-5479,89,경기도 용인시 처인구 모현읍,36,10,서울특별시 강동구 암사동,서울특별시 동작구 노량진동,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 양주시 어둔동,서울특별시 용산구 원효로3가,Y,Y,2,34038,0.53,18040,052-***-5479
홍미영,1949-10-22,019-036-6175,76,경기도 안성시 신건지동,27,14,경기도 오산시 벌음동,경기도 안성시 낙원동,경기도 연천군 백학면,경기도 이천시 설성면,경기도 안성시 대덕면,경기도 파주시 법원읍,N,Y,3,88871,0.5,44436,019-***-6175
김시우,1975-07-25,062-623-9199,50,경기도 양평군 양동면,30,8,경기도 파주시 하지석동,서울특별시 용산구,경기도 구리시 갈매동,경기도 파주시 조리읍,경기도 이천시 호법면,경기도 구리시 토평동,Y,Y,3,4444,0.53,2355,062-***-9199
안하은,1976-06-09,053-501-0456,49,경기도 안성시 원곡면,39,7,경기도 안성시 대덕면,경기도 여주시 금사면,경기도 양주시,경기도 평택시 포승읍,서울특별시 영등포구 문래동6가,경기도 안성시 낙원동,N,Y,2,238798,0.3,71639,053-***-0456
김지원,1942-07-29,055-858-3184,83,경기도 남양주시 진접읍,27,6,경기도 양평군 강상면,경기도 여주시 우만동,경기도 양주시 남면,경기도 고양시 덕양구 원당동,경기도 이천시 율면,경기도 여주시 북내면,N,N,0,168464,0.2,33693,055-***-3184
손현주,1944-04-25,018-108-9523,81,서울특별시 마포구 망원동,29,12,경기도 남양주시 별내면,경기도 용인시 처인구 포곡읍,경기도 안성시 공도읍,경기도 안성시 신흥동,경기도 화성시 매송면,경기도 안성시 일죽면,N,N,0,366682,0.2,73336,018-***-9523
박성진,1981-07-15,018-816-7700,44,서울특별시 중구 오장동,30,8,경기도 화성시 장안면,서울특별시 용산구 원효로1가,서울특별시 마포구 구수동,경기도 양주시 유양동,경기도 연천군 전곡읍,경기도 성남시 분당구 운중동,N,N,0,34758,0.2,6952,018-***-7700
박수진,1999-07-01,016-635-4036,26,경기도 성남시 분당구 이매동,30,3,경기도 용인시 처인구 백암면,서울특별시 영등포구 영등포동5가,경기도 화성시 비봉면,경기도 수원시 장안구 연무동,경기도 용인시 처인구 양지면,경기도 수원시 팔달구 화서동,N,N,0,510131,0.3,153039,016-***-4036
강준혁,1939-06-06,018-248-3035,86,경기도 구리시 갈매동,29,16,경기도 파주시 적성면,경기도 평택시 청북읍,서울특별시 중구 남대문로4가,경기도 포천시 내촌면,경기도 안성시 동본동,경기도 안성시 금광면,N,N,0,440221,0.2,88044,018-***-3035
심영식,1984-04-28,043-366-4980,41,경기도 평택시 포승읍,23,16,경기도 안성시 일죽면,서울특별시 종로구 부암동,서울특별시 중구 의주로2가,서울특별시 성북구 삼선동3가,경기도 하남시 천현동,경기도 여주시 점동면,N,Y,2,146276,0.3,43883,043-***-4980
김정자,1945-10-26,033-617-3233,80,경기도 수원시 팔달구 지동,23,14,경기도 파주시 문산읍,경기도 안성시 보개면,경기도 용인시 처인구 삼가동,경기도 성남시 수정구 시흥동,경기도 안성시 금광면,경기도 평택시 팽성읍,N,N,0,86670,0.2,17334,033-***-3233
김정남,1960-11-08,018-307-4522,65,경기도 이천시 진리동,35,11,경기도 포천시 일동면,경기도 파주시 산남동,경기도 성남시 수정구,경기도 부천시 원미구 원미동,경기도 의왕시 이동,경기도 용인시 처인구 원삼면,N,N,0,381164,0.2,76233,018-***-4522
남준호,2003-11-13,061-843-8122,22,서울특별시 중구 북창동,28,9,서울특별시 영등포구 영등포동,경기도 파주시 법원읍,서울특별시 용산구 갈월동,경기도 화성시,경기도 광주시 송정동,경기도 화성시 팔탄면,Y,N,0,536830,0.53,284520,061-***-8122
김영식,1966-11-12,011-859-3861,59,경기도 양평군 개군면,38,9,경기도 포천시 자작동,경기도 안성시 양성면,경기도 수원시 팔달구 고등동,경기도 안산시 상록구 일동,경기도 이천시 마장면,경기도 성남시 분당구 구미동,N,N,0,33465,0.2,6693,011-***-3861
김정훈,1968-08-15,016-280-5632,57,경기도 양주시 장흥면,32,8,경기도 안성시 공도읍,경기도 안성시 고삼면,경기도 용인시 처인구 모현읍,경기도 수원시 권선구 장지동,경기도 고양시 일산동구 중산동,경기도 하남시 덕풍동,N,N,0,163718,0.2,32744,016-***-5632
심현우,1984-07-04,063-645-0566,41,서울특별시 중구 묵정동,32,11,경기도 용인시 처인구 역북동,경기도 파주시 적성면,경기도 양평군 청운면,경기도 안산시 단원구 원곡동,경기도 용인시 기흥구 마북동,경기도 연천군 신서면,Y,Y,3,132635,0.53,70297,063-***-0566
하지영,1974-08-15,044-002-7039,51,서울특별시 마포구 신공덕동,30,10,서울특별시 광진구 광장동,경기도 안양시 동안구,서울특별시 강서구 오쇠동,서울특별시 종로구 당주동,경기도 평택시 팽성읍,경기도 안성시 공도읍,N,N,0,145759,0.2,29152,044-***-7039
배정순,1967-08-01,011-302-1340,58,경기도 성남시 수정구 복정동,31,12,경기도 이천시 호법면,경기도 평택시 진위면,경기도 이천시 부발읍,경기도 수원시 팔달구 신풍동,경기도 양평군 지평면,경기도 여주시 세종대왕면,N,N,0,13595,0.2,2719,011-***-1340
김은지,1967-04-16,010-7962-8267,58,경기도 광주시 퇴촌면,29,10,경기도 고양시 덕양구 행신동,경기도 여주시 북내면,경기도 포천시 신북면,경기도 화성시 신동,경기도 연천군 백학면,경기도 화성시 장안면,N,N,0,91215,0.2,18243,010-****-8267
문지영,1977-06-26,033-027-3836,48,경기도 이천시 율면,22,6,경기도 파주시 적성면,경기도 가평군 가평읍,경기도 평택시 포승읍,경기도 안성시 삼죽면,서울특별시 중구 남산동1가,경기도 성남시 분당구 서현동,N,N,0,30601,0.2,6120,033-***-3836
박지은,1977-01-31,051-372-9908,48,경기도 안양시 동안구 호계동,24,12,경기도 연천군 백학면,경기도 연천군 중면,경기도 안성시 미양면,경기도 안성시 고삼면,서울특별시 종로구 경운동,서울특별시 종로구 사간동,N,N,0,390187,0.2,78037,051-***-9908
김정남,1969-10-13,064-744-2813,56,경기도 안성시 금광면,28,13,서울특별시 마포구 구수동,경기도 파주시 문산읍,경기도 광주시 곤지암읍,경기도 안성시 공도읍,서울특별시 종로구 행촌동,서울특별시 종로구 소격동,N,N,0,114780,0.2,22956,064-***-2813
최명자,2001-03-15,017-659-0962,24,경기도 가평군 설악면,32,15,경기도 양평군 용문면,경기도 용인시 처인구 양지면,경기도 화성시 정남면,경기도 가평군 조종면,경기도 화성시 우정읍,경기도 포천시 일동면,N,N,0,344554,0.3,103366,017-***-0962
신재호,1967-06-08,031-164-9578,58,경기도 파주시 조리읍,31,9,경기도 이천시 신둔면,서울특별시 중구 을지로4가,경기도 파주시 문산읍,서울특별시 강남구 신사동,경기도 가평군 가평읍,경기도 남양주시 화도읍,N,N,0,46497,0.2,9299,031-***-9578
윤주원,1954-04-18,019-005-6309,71,경기도 군포시 속달동,44,8,경기도 안성시 고삼면,경기도 파주시 신촌동,경기도 용인시 처인구 호동,경기도 여주시 점동면,서울특별시 성북구 보문동2가,경기도 시흥시 산현동,N,N,0,379077,0.2,75815,019-***-6309
박정순,1943-04-04,02-3027-0426,82,경기도 수원시,22,10,경기도 여주시 세종대왕면,경기도 여주시 금사면,서울특별시 강남구 도곡동,경기도 광주시 도척면,경기도 화성시 새솔동,경기도 의정부시 고산동,N,N,0,28475,0.2,5695,02-3***-0426
최영희,1956-05-18,041-636-3222,69,서울특별시 강동구 명일동,33,9,경기도 남양주시 수동면,경기도 구리시 토평동,경기도 화성시 봉담읍,경기도 안성시 고삼면,경기도 화성시 향남읍,경기도 이천시 백사면,N,Y,2,31748,0.3,9524,041-***-3222
김성민,1959-01-08,011-568-6815,66,경기도 광주시 퇴촌면,21,13,경기도 여주시 대신면,경기도 김포시 하성면,경기도 여주시 점동면,경기도 광주시 쌍령동,서울특별시 중구 예장동,경기도 안성시 구포동,N,N,0,834497,0.2,166899,011-***-6815
김종수,2003-03-15,041-027-4600,22,경기도 용인시 처인구 이동읍,29,11,경기도 이천시 백사면,경기도 용인시 처인구 양지면,경기도 구리시 교문동,경기도 파주시 진동면,서울특별시 동대문구 답십리동,서울특별시 중구 남대문로4가,N,N,0,5539,0.3,1662,041-***-4600
오정식,1987-02-09,070-1310-6745,38,경기도 남양주시 화도읍,32,10,경기도 파주시 탄현면,서울특별시 강서구 마곡동,경기도 안성시 삼죽면,경기도 안성시 양성면,경기도 용인시 처인구 남사읍,경기도 화성시 서신면,Y,N,0,6075,0.53,3220,070-****-6745
이명숙,1940-05-06,010-4618-7962,85,경기도 양주시 남방동,29,4,서울특별시 중랑구 망우동,경기도 안성시 금광면,경기도 남양주시 화도읍,경기도 안성시 죽산면,경기도 시흥시 목감동,경기도 연천군 미산면,N,Y,2,21081,0.3,6324,010-****-7962
박명숙,1948-03-26,02-4154-0845,77,경기도 파주시 장단면,25,9,경기도 연천군 백학면,경기도 시흥시 하중동,경기도 가평군 설악면,서울특별시 종로구 내자동,경기도 화성시 향남읍,경기도 파주시 문산읍,N,N,0,39745,0.2,7949,02-4***-0845
박지영,1995-02-24,053-796-1255,30,서울특별시 중구 수하동,26,3,경기도 연천군 왕징면,경기도 여주시 세종대왕면,경기도 의정부시 용현동,경기도 평택시 팽성읍,경기도 포천시 군내면,경기도 파주시 적성면,N,N,0,13456,0.3,4037,053-***-1255
안성훈,1959-07-11,052-607-4264,66,서울특별시 동대문구 장안동,33,9,경기도 화성시 목동,경기도 평택시 동삭동,경기도 시흥시 화정동,경기도 포천시 가산면,경기도 시흥시 금이동,경기도 양주시 장흥면,N,N,0,570294,0.2,114059,052-***-4264
장우진,1989-01-04,064-765-6197,36,경기도 광주시 초월읍,36,12,경기도 양주시 광적면,경기도 화성시 서신면,경기도 파주시 조리읍,서울특별시 중구 남창동,경기도 성남시 수정구 둔전동,경기도 의왕시 왕곡동,N,N,0,68070,0.2,13614,064-***-6197
김종수,1993-05-23,010-5934-6381,32,경기도 광주시 곤지암읍,29,9,서울특별시 종로구 운니동,경기도 여주시 금사면,경기도 화성시 송산면,경기도 고양시 일산동구 풍동,서울특별시 종로구 종로4가,경기도 이천시 마장면,Y,N,0,637626,0.53,337942,010-****-6381
김정호,1964-08-17,02-2548-7410,61,경기도 연천군 왕징면,22,10,경기도 이천시 마장면,경기도 안성시 공도읍,경기도 남양주시 일패동,경기도 남양주시 오남읍,경기도 파주시 파주읍,경기도 화성시 송산면,N,N,0,396570,0.2,79314,02-2***-7410
이미경,1997-11-28,063-799-0465,28,경기도 가평군 청평면,27,5,경기도 화성시 향남읍,경기도 양평군 서종면,경기도 고양시 덕양구 화전동,경기도 파주시 문산읍,경기도 성남시 수정구 고등동,서울특별시 강남구 도곡동,N,N,0,275032,0.3,82510,063-***-0465
하영환,1960-07-05,018-217-4088,65,경기도 양평군 서종면,39,12,경기도 화성시 송동,경기도 광주시 도척면,서울특별시 중구 저동2가,서울특별시 송파구 오금동,경기도 용인시 수지구 신봉동,경기도 여주시 북내면,N,N,0,5194,0.2,1039,018-***-4088
허미경,2001-02-05,019-528-3659,24,경기도 연천군 왕징면,41,11,경기도 안산시 상록구 사사동,경기도 김포시 양촌읍,경기도 군포시 둔대동,경기도 수원시 권선구 권선동,경기도 안성시 공도읍,경기도 김포시 월곶면,N,N,0,246498,0.3,73949,019-***-3659
이숙자,1940-04-25,044-812-4843,85,경기도 과천시 갈현동,30,13,경기도 여주시 대신면,경기도 성남시 수정구 심곡동,경기도 용인시 처인구 마평동,경기도 연천군 중면,서울특별시 동대문구 용두동,서울특별시 종로구 인사동,Y,N,0,89888,0.53,47641,044-***-4843
송민준,1937-01-16,053-374-0412,88,서울특별시 영등포구 영등포동2가,25,11,경기도 화성시 팔탄면,경기도 파주시 금촌동,경기도 안성시 금광면,경기도 안성시 보개면,경기도 안성시 공도읍,경기도 용인시 수지구 신봉동,N,N,0,394793,0.2,78959,053-***-0412
김준서,2003-12-21,042-526-3332,22,경기도 이천시 모가면,27,7,경기도 남양주시 다산동,경기도 수원시 팔달구 화서동,경기도 양평군 옥천면,서울특별시 영등포구 양평동6가,경기도 안성시 삼죽면,경기도 구리시 토평동,N,N,0,152400,0.3,45720,042-***-3332
황영길,1980-09-20,010-8827-6952,45,경기도 수원시 장안구 정자동,26,6,경기도 양주시 옥정동,경기도 수원시 권선구 금곡동,경기도 부천시 원미구 중동,경기도 이천시 부발읍,경기도 고양시 일산동구,경기도 양평군 개군면,N,N,0,50208,0.2,10042,010-****-6952
이서윤,1938-09-29,052-118-6665,87,경기도 김포시 대곶면,21,8,경기도 남양주시 퇴계원읍,서울특별시 종로구 공평동,경기도 양평군 개군면,경기도 양주시 남면,서울특별시 성동구 마장동,경기도 이천시 대월면,N,N,0,176873,0.2,35375,052-***-6665
백미영,1934-07-18,062-191-9011,91,경기도 수원시 팔달구 매산로2가,24,6,경기도 포천시 일동면,경기도 광주시 도척면,경기도 포천시 동교동,경기도 이천시 설성면,경기도 가평군 설악면,경기도 수원시 권선구 장지동,N,N,0,143490,0.2,28698,062-***-9011
안지민,1964-05-08,061-629-1758,61,서울특별시 동작구 흑석동,22,12,경기도 과천시 과천동,경기도 수원시 영통구 이의동,서울특별시 종로구 원남동,경기도 광명시 하안동,경기도 여주시 산북면,경기도 의왕시 고천동,N,N,0,223488,0.2,44698,061-***-1758
고정수,1976-01-12,010-3838-5378,49,서울특별시 중구 예관동,34,6,경기도 고양시 일산동구 지영동,경기도 광주시 초월읍,경기도 의정부시 산곡동,서울특별시 용산구 한강로1가,경기도 평택시 오성면,경기도 광주시 남한산성면,N,N,0,55483,0.2,11097,010-****-5378
김광수,1955-06-04,019-358-0828,70,경기도 이천시 장호원읍,38,10,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 여주시 점동면,경기도 파주시 장단면,경기도 용인시 기흥구 청덕동,경기도 여주시 가남읍,N,N,0,869815,0.2,173963,019-***-0828
황유진,1980-11-21,019-375-4676,45,경기도 포천시 화현면,26,12,경기도 화성시 우정읍,경기도 가평군 설악면,경기도 양주시 장흥면,경기도 의왕시 삼동,경기도 포천시 영북면,경기도 안성시,N,N,0,209963,0.2,41993,019-***-4676
박민서,1941-12-17,053-136-8383,84,경기도 안성시 일죽면,40,7,경기도 안성시 일죽면,경기도 여주시 신진동,경기도 양평군 양서면,경기도 안성시 대덕면,경기도 양평군 강하면,경기도 가평군 상면,N,N,0,92439,0.2,18488,053-***-8383
안순자,1995-12-07,017-402-1566,30,서울특별시 강동구 고덕동,32,7,서울특별시 영등포구 양평동6가,경기도 여주시 대신면,서울특별시 서초구 방배동,경기도 평택시 고덕면,경기도 연천군 신서면,경기도 김포시 하성면,N,N,0,168796,0.3,50639,017-***-1566
안은경,1994-10-15,051-074-0205,31,서울특별시 용산구 용산동3가,29,10,경기도 용인시 처인구 양지면,경기도 성남시 수정구 산성동,경기도 파주시 진서면,서울특별시 중랑구 신내동,경기도 연천군 전곡읍,경기도 파주시 장단면,N,Y,2,99363,0.3,29809,051-***-0205
